"SECONDS";"PID";"VALUE";"UNITS";"LATITUDE";"LONGTITUDE";
"48267.495904";"Velocidade (GPS)";"0";"km/h";"-23.63317092";"-46.68023865";
"48267.495904";"Velocidade média (GPS)";"0";"km/h";"-23.63317092";"-46.68023865";
"48267.500904";"Altitude (GPS)";"739.789306640625";"m";"-23.63317092";"-46.68023865";
"48267.500904";"Altitude (GPS)";"739.789306640625";"m";"-23.63317092";"-46.68023865";
"48267.500904";"Altitude (GPS)";"739.789306640625";"m";"-23.63317092";"-46.68023865";
"48267.500904";"Velocidade (GPS)";"0";"km/h";"-23.63317092";"-46.68023865";
"48267.500904";"Velocidade média (GPS)";"0";"km/h";"-23.63317092";"-46.68023865";
"48267.900904";"Altitude (GPS)";"739.700012207031";"m";"-23.63317092";"-46.68023865";
"48267.900904";"Velocidade (GPS)";"0";"km/h";"-23.63317092";"-46.68023865";
"48267.900904";"Velocidade média (GPS)";"0";"km/h";"-23.63317092";"-46.68023865";
"48268.490904";"Altitude (GPS)";"739.782348632813";"m";"-23.63317096";"-46.68023868";
"48268.491904";"Altitude (GPS)";"739.782348632813";"m";"-23.63317096";"-46.68023868";
"48268.491904";"Velocidade (GPS)";"0";"km/h";"-23.63317096";"-46.68023868";
"48268.491904";"Velocidade média (GPS)";"0";"km/h";"-23.63317096";"-46.68023868";
"48268.759904";"Altitude (GPS)";"739.700012207031";"m";"-23.63317096";"-46.68023868";
"48268.759904";"Velocidade (GPS)";"0";"km/h";"-23.63317096";"-46.68023868";
"48268.759904";"Velocidade média (GPS)";"0";"km/h";"-23.63317096";"-46.68023868";
"48268.891904";"Voltagem do modulo OBD";"14.1";"V";"-23.63317096";"-46.68023868";
"48269.132904";"Valor da carga calculada do motor";"31.3725490196078";"%";"-23.63317096";"-46.68023868";
"48269.217904";"Temperatura do líquido de 
arrefecimento do motor";"89";"℃";"-23.63317096";"-46.68023868";
"48269.293904";"Ajuste de combustível % a curto 
prazo - Banco 1";"0";"%";"-23.63317096";"-46.68023868";
"48269.367904";"Ajuste de combustível % a longo 
prazo - Banco 1";"-3.125";"%";"-23.63317096";"-46.68023868";
"48269.431904";"Boost calculado";"-0.40325";"bar";"-23.63317096";"-46.68023868";
"48269.431904";"Pressão absoluta do coletor de 
admissão";"61";"kPa";"-23.63317096";"-46.68023868";
"48269.491904";"Altitude (GPS)";"739.784423828125";"m";"-23.63317098";"-46.6802387";
"48269.492904";"Altitude (GPS)";"739.784423828125";"m";"-23.63317098";"-46.6802387";
"48269.492904";"Velocidade (GPS)";"0";"km/h";"-23.63317098";"-46.6802387";
"48269.492904";"Velocidade média (GPS)";"0";"km/h";"-23.63317098";"-46.6802387";
"48269.528904";"Consumo instantâneo de combustível (l/h)";"3.06575800745111";"L/h";"-23.63317098";"-46.6802387";
"48269.528904";"Potência instantânea do motor (baseado no consumo de combustível)";"13.574335306881";"hp";"-23.63317098";"-46.6802387";
"48269.528904";"RPM do motor";"1057";"rpm";"-23.63317098";"-46.6802387";
"48269.528904";"RPM do motor x1000";"1.1";"rpm";"-23.63317098";"-46.6802387";
"48269.614904";"Velocidade do veículo";"0";"km/h";"-23.63317098";"-46.6802387";
"48269.661904";"Voltagem do modulo OBD";"14.1";"V";"-23.63317098";"-46.6802387";
"48269.771904";"Altitude (GPS)";"739.700012207031";"m";"-23.63317098";"-46.6802387";
"48269.771904";"Velocidade (GPS)";"0";"km/h";"-23.63317098";"-46.6802387";
"48269.771904";"Velocidade média (GPS)";"0";"km/h";"-23.63317098";"-46.6802387";
"48269.914904";"Valor da carga calculada do motor";"31.7647058823529";"%";"-23.63317098";"-46.6802387";
"48269.998904";"Temperatura do líquido de 
arrefecimento do motor";"88";"℃";"-23.63317098";"-46.6802387";
"48270.194904";"Ajuste de combustível % a curto 
prazo - Banco 1";"0.78125";"%";"-23.63317098";"-46.6802387";
"48270.279904";"Ajuste de combustível % a longo 
prazo - Banco 1";"-3.125";"%";"-23.63317098";"-46.6802387";
"48270.333904";"Voltagem do modulo OBD";"14.1";"V";"-23.63317098";"-46.6802387";
"48270.489904";"Altitude (GPS)";"739.801025390625";"m";"-23.63317117";"-46.68023874";
"48270.490904";"Altitude (GPS)";"739.801025390625";"m";"-23.63317117";"-46.68023874";
"48270.490904";"Velocidade (GPS)";"0";"km/h";"-23.63317117";"-46.68023874";
"48270.490904";"Velocidade média (GPS)";"0";"km/h";"-23.63317117";"-46.68023874";
"48270.580904";"Valor da carga calculada do motor";"31.7647058823529";"%";"-23.63317117";"-46.68023874";
"48270.643904";"Ajuste de combustível % a curto 
prazo - Banco 1";"0.78125";"%";"-23.63317117";"-46.68023874";
"48270.709904";"Ajuste de combustível % a longo 
prazo - Banco 1";"-3.125";"%";"-23.63317117";"-46.68023874";
"48270.752904";"Voltagem do modulo OBD";"14.1";"V";"-23.63317117";"-46.68023874";
