"SECONDS";"PID";"VALUE";"UNITS";
"41780.175066";"Combustível usado (total)";"0";"L";
"41780.175066";"Consumo médio de combustível (l/100km)";"0";"L/100km";
"41780.175066";"Consumo médio de combustível (l/100km) (total)";"0";"L/100km";
"41780.175066";"Consumo médio de combustível (l/100km) 10 sec";"0";"L/100km";
"41780.175066";"Distância percorrida (total)";"0";"km";
"41780.175066";"Fuel economizer (based on fuel system status and throttle position)";"1";"";
"41780.175066";"Preço do combustível usado";"0";"R$";
"41780.175066";"Preço do combustível usado (total)";"0";"R$";
"41788.134066";"Ajuste de combustível % a longo 
prazo - Banco 1";"-3.90625";"%";
"41788.243066";"Ajuste de combustível % a curto 
prazo - Banco 1";"-0.78125";"%";
"41788.322066";"Temperatura do líquido de 
arrefecimento do motor";"74";"℃";
"41788.410066";"Valor da carga calculada do motor";"51.3725490196078";"%";
"41788.605066";"Voltagem do modulo OBD";"14";"V";
"41788.690066";"Ajuste de combustível % a longo 
prazo - Banco 1";"-3.90625";"%";
"41788.775066";"Ajuste de combustível % a curto 
prazo - Banco 1";"-0.78125";"%";
"41789.136066";"Valor da carga calculada do motor";"51.3725490196078";"%";
"41789.387066";"Voltagem do modulo OBD";"14";"V";
"41789.443066";"Ajuste de combustível % a longo 
prazo - Banco 1";"-3.90625";"%";
"41789.486066";"Ajuste de combustível % a curto 
prazo - Banco 1";"-1.5625";"%";
"41789.554066";"Temperatura do líquido de 
arrefecimento do motor";"74";"℃";
"41789.598066";"Valor da carga calculada do motor";"54.5098039215686";"%";
"41789.755066";"Voltagem do modulo OBD";"14";"V";
"41789.800066";"Ajuste de combustível % a longo 
prazo - Banco 1";"-3.90625";"%";
"41789.844066";"Ajuste de combustível % a curto 
prazo - Banco 1";"-2.34375";"%";
"41789.900066";"Valor da carga calculada do motor";"59.2156862745098";"%";
"41790.055066";"Voltagem do modulo OBD";"14";"V";
"41790.104066";"Ajuste de combustível % a longo 
prazo - Banco 1";"-3.90625";"%";
"41790.140066";"Ajuste de combustível % a curto 
prazo - Banco 1";"-0.78125";"%";
"41790.196066";"Temperatura do líquido de 
arrefecimento do motor";"74";"℃";
"41790.238066";"Valor da carga calculada do motor";"69.0196078431373";"%";
"41790.462066";"Voltagem do modulo OBD";"14";"V";
"41790.548066";"Ajuste de combustível % a longo 
prazo - Banco 1";"-3.90625";"%";
"41790.595066";"Ajuste de combustível % a curto 
prazo - Banco 1";"0.78125";"%";
"41790.639066";"Valor da carga calculada do motor";"72.9411764705882";"%";
"41790.803066";"Voltagem do modulo OBD";"14";"V";
"41790.858066";"Ajuste de combustível % a longo 
prazo - Banco 1";"-3.90625";"%";
"41790.902066";"Ajuste de combustível % a curto 
prazo - Banco 1";"0.78125";"%";
"41790.937066";"Temperatura do líquido de 
arrefecimento do motor";"74";"℃";
"41790.982066";"Valor da carga calculada do motor";"74.1176470588235";"%";
"41791.117066";"Voltagem do modulo OBD";"14";"V";
"41791.165066";"Ajuste de combustível % a longo 
prazo - Banco 1";"-3.90625";"%";
"41791.211066";"Ajuste de combustível % a curto 
prazo - Banco 1";"0";"%";
"41791.268066";"Valor da carga calculada do motor";"80";"%";
"41791.416066";"Voltagem do modulo OBD";"14";"V";
"41791.449066";"Ajuste de combustível % a longo 
prazo - Banco 1";"-3.90625";"%";
"41791.494066";"Ajuste de combustível % a curto 
prazo - Banco 1";"-1.5625";"%";
"41791.548066";"Temperatura do líquido de 
arrefecimento do motor";"74";"℃";
"41791.598066";"Valor da carga calculada do motor";"85.8823529411765";"%";
"41791.817066";"Voltagem do modulo OBD";"14";"V";
"41791.861066";"Ajuste de combustível % a longo 
prazo - Banco 1";"-3.90625";"%";
"41791.907066";"Ajuste de combustível % a curto 
prazo - Banco 1";"-1.5625";"%";
"41791.951066";"Valor da carga calculada do motor";"85.4901960784314";"%";
"41792.103066";"Voltagem do modulo OBD";"14";"V";
"41792.158066";"Ajuste de combustível % a longo 
prazo - Banco 1";"-3.90625";"%";
"41792.193066";"Ajuste de combustível % a curto 
prazo - Banco 1";"-2.34375";"%";
"41792.259066";"Temperatura do líquido de 
arrefecimento do motor";"74";"℃";
"41792.303066";"Valor da carga calculada do motor";"84.7058823529412";"%";
"41792.455066";"Voltagem do modulo OBD";"14";"V";
"41792.500066";"Ajuste de combustível % a longo 
prazo - Banco 1";"-3.90625";"%";
"41792.545066";"Ajuste de combustível % a curto 
prazo - Banco 1";"-2.34375";"%";
"41792.591066";"Valor da carga calculada do motor";"84.3137254901961";"%";
"41792.735066";"Voltagem do modulo OBD";"14";"V";
"41792.767066";"Ajuste de combustível % a longo 
prazo - Banco 1";"-3.90625";"%";
"41792.811066";"Ajuste de combustível % a curto 
prazo - Banco 1";"-2.34375";"%";
"41792.854066";"Temperatura do líquido de 
arrefecimento do motor";"74";"℃";
"41792.904066";"Valor da carga calculada do motor";"85.0980392156863";"%";
"41793.112066";"Voltagem do modulo OBD";"14";"V";
"41793.148066";"Ajuste de combustível % a longo 
prazo - Banco 1";"-3.90625";"%";
"41793.205066";"Ajuste de combustível % a curto 
prazo - Banco 1";"-2.34375";"%";
"41793.262066";"Valor da carga calculada do motor";"81.9607843137255";"%";
"41793.407066";"Voltagem do modulo OBD";"14";"V";
"41793.442066";"Ajuste de combustível % a longo 
prazo - Banco 1";"-3.90625";"%";
"41793.499066";"Ajuste de combustível % a curto 
prazo - Banco 1";"-2.34375";"%";
"41793.575066";"Temperatura do líquido de 
arrefecimento do motor";"74";"℃";
"41793.620066";"Valor da carga calculada do motor";"83.1372549019608";"%";
"41793.743066";"Voltagem do modulo OBD";"14";"V";
"41793.788066";"Ajuste de combustível % a longo 
prazo - Banco 1";"-3.90625";"%";
"41793.843066";"Ajuste de combustível % a curto 
prazo - Banco 1";"-3.90625";"%";
"41793.904066";"Valor da carga calculada do motor";"85.0980392156863";"%";
"41794.046066";"Voltagem do modulo OBD";"14";"V";
"41794.089066";"Ajuste de combustível % a longo 
prazo - Banco 1";"-3.90625";"%";
"41794.124066";"Ajuste de combustível % a curto 
prazo - Banco 1";"-2.34375";"%";
"41794.179066";"Temperatura do líquido de 
arrefecimento do motor";"74";"℃";
"41794.222066";"Valor da carga calculada do motor";"89.0196078431373";"%";
"41794.446066";"Voltagem do modulo OBD";"14";"V";
"41794.502066";"Ajuste de combustível % a longo 
prazo - Banco 1";"-3.90625";"%";
