"SECONDS";"PID";"VALUE";"UNITS";"LATITUDE";"LONGTITUDE";
"44766.776365";"Velocidade (GPS)";"0";"km/h";"-23.53329712";"-46.66153055";
"44766.776365";"Velocidade média (GPS)";"0";"km/h";"-23.53329712";"-46.66153055";
"44766.782365";"Altitude (GPS)";"728.800659179688";"m";"-23.53329712";"-46.66153055";
"44766.792365";"Altitude (GPS)";"728.800659179688";"m";"-23.53329712";"-46.66153055";
"44767.507365";"Altitude (GPS)";"731.200012207031";"m";"-23.53329712";"-46.66153055";
"44767.507365";"Altitude (GPS)";"731.200012207031";"m";"-23.53329712";"-46.66153055";
"44767.507365";"Velocidade (GPS)";"0";"km/h";"-23.53329712";"-46.66153055";
"44767.507365";"Velocidade (GPS)";"0";"km/h";"-23.53329712";"-46.66153055";
"44767.507365";"Velocidade média (GPS)";"0";"km/h";"-23.53329712";"-46.66153055";
"44767.507365";"Velocidade média (GPS)";"0";"km/h";"-23.53329712";"-46.66153055";
"44767.781365";"Altitude (GPS)";"729.259765625";"m";"-23.53329674";"-46.66152888";
"44767.782365";"Altitude (GPS)";"729.259765625";"m";"-23.53329674";"-46.66152888";
"44767.782365";"Velocidade (GPS)";"0";"km/h";"-23.53329674";"-46.66152888";
"44767.782365";"Velocidade média (GPS)";"0";"km/h";"-23.53329674";"-46.66152888";
"44767.786365";"Altitude (GPS)";"736";"m";"-23.53329674";"-46.66152888";
"44767.786365";"Velocidade (GPS)";"0";"km/h";"-23.53329674";"-46.66152888";
"44767.786365";"Velocidade média (GPS)";"0";"km/h";"-23.53329674";"-46.66152888";
"44767.787365";"Altitude (GPS)";"736";"m";"-23.53329674";"-46.66152888";
"44767.787365";"Velocidade (GPS)";"0";"km/h";"-23.53329674";"-46.66152888";
"44767.787365";"Velocidade média (GPS)";"0";"km/h";"-23.53329674";"-46.66152888";
"44768.475365";"Altitude (GPS)";"731.099975585938";"m";"-23.53329674";"-46.66152888";
"44768.475365";"Velocidade (GPS)";"0";"km/h";"-23.53329674";"-46.66152888";
"44768.475365";"Velocidade média (GPS)";"0";"km/h";"-23.53329674";"-46.66152888";
"44768.776365";"Altitude (GPS)";"729.484619140625";"m";"-23.53329632";"-46.66152768";
"44768.777365";"Altitude (GPS)";"729.484619140625";"m";"-23.53329632";"-46.66152768";
"44768.777365";"Velocidade (GPS)";"0";"km/h";"-23.53329632";"-46.66152768";
"44768.777365";"Velocidade média (GPS)";"0";"km/h";"-23.53329632";"-46.66152768";
"44769.484365";"Altitude (GPS)";"731.099975585938";"m";"-23.53329632";"-46.66152768";
"44769.484365";"Velocidade (GPS)";"0";"km/h";"-23.53329632";"-46.66152768";
"44769.484365";"Velocidade média (GPS)";"0";"km/h";"-23.53329632";"-46.66152768";
"44769.776365";"Altitude (GPS)";"729.597412109375";"m";"-23.53329623";"-46.66152722";
"44769.777365";"Altitude (GPS)";"729.597412109375";"m";"-23.53329623";"-46.66152722";
"44769.777365";"Velocidade (GPS)";"0";"km/h";"-23.53329623";"-46.66152722";
"44769.777365";"Velocidade média (GPS)";"0";"km/h";"-23.53329623";"-46.66152722";
"44770.500365";"Altitude (GPS)";"731.099975585938";"m";"-23.53329623";"-46.66152722";
"44770.500365";"Velocidade (GPS)";"0";"km/h";"-23.53329623";"-46.66152722";
"44770.500365";"Velocidade média (GPS)";"0";"km/h";"-23.53329623";"-46.66152722";
"44770.782365";"Altitude (GPS)";"729.551025390625";"m";"-23.53329691";"-46.66152732";
"44770.783365";"Altitude (GPS)";"729.551025390625";"m";"-23.53329691";"-46.66152732";
