"SECONDS";"PID";"VALUE";"UNITS";"LATITUDE";"LONGTITUDE";
"54889.031324";"Altitude (GPS)";"706.09130859375";"m";"-23.11075095";"-47.00957689";
"54889.031324";"Altitude (GPS)";"706.09130859375";"m";"-23.11075095";"-47.00957689";
"54889.031324";"Velocidade (GPS)";"0";"km/h";"-23.11075095";"-47.00957689";
"54889.031324";"Velocidade (GPS)";"0";"km/h";"-23.11075095";"-47.00957689";
"54889.031324";"Velocidade média (GPS)";"50.9209481565166";"km/h";"-23.11075095";"-47.00957689";
"54889.031324";"Velocidade média (GPS)";"50.9209469696216";"km/h";"-23.11075095";"-47.00957689";
"54889.035324";"Altitude (GPS)";"706.09130859375";"m";"-23.11075101";"-47.00958944";
"54889.035324";"Velocidade (GPS)";"0";"km/h";"-23.11075101";"-47.00958944";
"54889.035324";"Velocidade média (GPS)";"50.9209347937828";"km/h";"-23.11075101";"-47.00958944";
"54890.030324";"Altitude (GPS)";"708.64892578125";"m";"-23.11075352";"-47.00959398";
"54890.037324";"Altitude (GPS)";"722.900024414063";"m";"-23.11075352";"-47.00959398";
"54890.037324";"Velocidade (GPS)";"0.908271718025208";"km/h";"-23.11075352";"-47.00959398";
"54890.037324";"Velocidade média (GPS)";"50.9172938712416";"km/h";"-23.11075352";"-47.00959398";
"54891.029324";"Altitude (GPS)";"708.445556640625";"m";"-23.11075456";"-47.00958872";
"54892.031324";"Altitude (GPS)";"707.0029296875";"m";"-23.11075456";"-47.00958872";
"54892.031324";"Velocidade (GPS)";"0";"km/h";"-23.11075456";"-47.00958872";
"54892.031324";"Velocidade média (GPS)";"50.9099257861041";"km/h";"-23.11075456";"-47.00958872";
"54892.032324";"Altitude (GPS)";"707.0029296875";"m";"-23.11075628";"-47.00957895";
"54892.032324";"Altitude (GPS)";"707.0029296875";"m";"-23.11075628";"-47.00957895";
"54892.032324";"Velocidade (GPS)";"0";"km/h";"-23.11075628";"-47.00957895";
"54892.032324";"Velocidade média (GPS)";"50.9099186752185";"km/h";"-23.11075628";"-47.00957895";
"54892.036324";"Altitude (GPS)";"722.900024414063";"m";"-23.11075628";"-47.00957895";
"54892.036324";"Velocidade (GPS)";"0.554938262701035";"km/h";"-23.11075628";"-47.00957895";
"54892.036324";"Velocidade média (GPS)";"50.9099046962105";"km/h";"-23.11075628";"-47.00957895";
"54892.899324";"Altitude (GPS)";"722.900024414063";"m";"-23.11075628";"-47.00957895";
"54892.899324";"Altitude (GPS)";"722.900024414063";"m";"-23.11075628";"-47.00957895";
"54892.899324";"Velocidade (GPS)";"0";"km/h";"-23.11075628";"-47.00957895";
"54892.899324";"Velocidade (GPS)";"0";"km/h";"-23.11075628";"-47.00957895";
"54892.899324";"Velocidade média (GPS)";"50.9067159764292";"km/h";"-23.11075628";"-47.00957895";
"54892.899324";"Velocidade média (GPS)";"50.9067155255878";"km/h";"-23.11075628";"-47.00957895";
"54892.900324";"Altitude (GPS)";"722.900024414063";"m";"-23.1106141";"-47.0098031";
"54892.910324";"Altitude (GPS)";"712.365922469304";"m";"-23.1106141";"-47.0098031";
"54892.910324";"Velocidade (GPS)";"0.476904809474945";"km/h";"-23.1106141";"-47.0098031";
"54892.910324";"Velocidade média (GPS)";"50.9066766698717";"km/h";"-23.1106141";"-47.0098031";
"54893.026324";"Altitude (GPS)";"706.817749023438";"m";"-23.11075681";"-47.00957439";
"54894.030324";"Altitude (GPS)";"706.776123046875";"m";"-23.11075754";"-47.00957198";
"54895.028324";"Altitude (GPS)";"706.640869140625";"m";"-23.11075754";"-47.00957198";
"54895.028324";"Velocidade (GPS)";"0";"km/h";"-23.11075754";"-47.00957198";
"54895.028324";"Velocidade média (GPS)";"50.8988487707696";"km/h";"-23.11075754";"-47.00957198";
"54895.032324";"Altitude (GPS)";"706.640869140625";"m";"-23.11075503";"-47.00956951";
"54895.033324";"Altitude (GPS)";"712.48468699487";"m";"-23.11075503";"-47.00956951";
"54895.033324";"Velocidade (GPS)";"0.14662791788578";"km/h";"-23.11075503";"-47.00956951";
"54895.033324";"Velocidade média (GPS)";"50.8988330969013";"km/h";"-23.11075503";"-47.00956951";
"54895.033324";"Velocidade média (GPS)";"0";"km/h";"-23.11075503";"-47.00956951";
"54895.293324";"Altitude (GPS)";"706.640869140625";"m";"-23.11075503";"-47.00956951";
"54895.293324";"Velocidade (GPS)";"0";"km/h";"-23.11075503";"-47.00956951";
"54896.551324";"Velocidade (GPS)";"0";"km/h";"-22.01836";"-47.92203439";
"54896.551324";"Velocidade média (GPS)";"0";"km/h";"-22.01836";"-47.92203439";
"54896.552324";"Altitude (GPS)";"817.00439453125";"m";"-22.01836";"-47.92203439";
"54896.558324";"Altitude (GPS)";"817.00439453125";"m";"-22.01836";"-47.92203439";
"54896.558324";"Velocidade (GPS)";"0";"km/h";"-22.01836";"-47.92203439";
"54896.558324";"Velocidade média (GPS)";"0";"km/h";"-22.01836";"-47.92203439";
"54896.561324";"Altitude (GPS)";"817.00439453125";"m";"-22.01836";"-47.92203439";
"54896.764324";"Altitude (GPS)";"821.599975585938";"m";"-22.01836";"-47.92203439";
"54896.764324";"Velocidade (GPS)";"0";"km/h";"-22.01836";"-47.92203439";
"54896.764324";"Velocidade média (GPS)";"0";"km/h";"-22.01836";"-47.92203439";
"54897.547324";"Altitude (GPS)";"817.04443359375";"m";"-22.01836";"-47.92203457";
"54897.548324";"Altitude (GPS)";"817.04443359375";"m";"-22.01836";"-47.92203457";
"54897.548324";"Velocidade (GPS)";"0";"km/h";"-22.01836";"-47.92203457";
"54897.548324";"Velocidade média (GPS)";"0";"km/h";"-22.01836";"-47.92203457";
"54897.770324";"Altitude (GPS)";"821.599975585938";"m";"-22.01836";"-47.92203457";
"54897.770324";"Velocidade (GPS)";"0";"km/h";"-22.01836";"-47.92203457";
"54897.770324";"Velocidade média (GPS)";"0";"km/h";"-22.01836";"-47.92203457";
"54898.564324";"Altitude (GPS)";"817.072021484375";"m";"-22.01836004";"-47.92203461";
"54898.566324";"Altitude (GPS)";"817.072021484375";"m";"-22.01836004";"-47.92203461";
"54898.566324";"Velocidade (GPS)";"0";"km/h";"-22.01836004";"-47.92203461";
"54898.566324";"Velocidade média (GPS)";"0";"km/h";"-22.01836004";"-47.92203461";
"54898.784324";"Altitude (GPS)";"821.599975585938";"m";"-22.01836004";"-47.92203461";
"54898.784324";"Velocidade (GPS)";"0";"km/h";"-22.01836004";"-47.92203461";
"54898.784324";"Velocidade média (GPS)";"0";"km/h";"-22.01836004";"-47.92203461";
"54899.548324";"Altitude (GPS)";"817.241455078125";"m";"-22.01836004";"-47.92203461";
"54899.548324";"Altitude (GPS)";"817.241455078125";"m";"-22.01835907";"-47.9220353";
"54899.548324";"Velocidade (GPS)";"0";"km/h";"-22.01836004";"-47.92203461";
"54899.548324";"Velocidade média (GPS)";"0";"km/h";"-22.01836004";"-47.92203461";
"54899.785324";"Altitude (GPS)";"821.599975585938";"m";"-22.01835907";"-47.9220353";
"54899.785324";"Velocidade (GPS)";"0";"km/h";"-22.01835907";"-47.9220353";
"54899.785324";"Velocidade média (GPS)";"0";"km/h";"-22.01835907";"-47.9220353";
"54900.540324";"Altitude (GPS)";"817.2734375";"m";"-22.0183591";"-47.92203534";
"54900.542324";"Altitude (GPS)";"817.2734375";"m";"-22.0183591";"-47.92203534";
"54900.542324";"Velocidade (GPS)";"0";"km/h";"-22.0183591";"-47.92203534";
"54900.542324";"Velocidade média (GPS)";"0";"km/h";"-22.0183591";"-47.92203534";
"54900.795324";"Altitude (GPS)";"821.599975585938";"m";"-22.0183591";"-47.92203534";
"54900.795324";"Velocidade (GPS)";"0";"km/h";"-22.0183591";"-47.92203534";
"54900.795324";"Velocidade média (GPS)";"0";"km/h";"-22.0183591";"-47.92203534";
"54901.542324";"Altitude (GPS)";"817.294189453125";"m";"-22.01835898";"-47.92203542";
"54902.040324";"Altitude (GPS)";"817.800048828125";"m";"-22.0184345";"-47.9220717";
"54902.547324";"Altitude (GPS)";"817.16796875";"m";"-22.01836133";"-47.92203579";
"54903.567324";"Altitude (GPS)";"817.177001953125";"m";"-22.01836128";"-47.92203578";
"54903.700324";"RPM do motor";"0";"rpm";"-22.01836128";"-47.92203578";
"54903.700324";"RPM do motor x1000";"0";"rpm";"-22.01836128";"-47.92203578";
"54903.800324";"Velocidade do veículo";"0";"km/h";"-22.01836128";"-47.92203578";
"54903.877324";"Temperatura do líquido de 
arrefecimento do motor";"25";"℃";"-22.01836128";"-47.92203578";
"54903.984324";"RPM do motor";"0";"rpm";"-22.01836128";"-47.92203578";
"54903.984324";"RPM do motor x1000";"0";"rpm";"-22.01836128";"-47.92203578";
"54904.072324";"Temperatura do ar de admissão";"26";"℃";"-22.01836128";"-47.92203578";
"54904.148324";"Distância percorrida";"0";"km";"-22.01836128";"-47.92203578";
"54904.148324";"Distância percorrida (total)";"0";"km";"-22.01836128";"-47.92203578";
"54904.148324";"Velocidade do veículo";"0";"km/h";"-22.01836128";"-47.92203578";
"54904.235324";"RPM do motor";"0";"rpm";"-22.01836128";"-47.92203578";
